obsid,leadid,ccode,idacr,country,continent,leader,startdate,enddate,entry,exit,exitcode,gender,yrborn
MLI-2012-2,149f4e48-aae0-11e4-b3bc-29f2fa19767e,432,MLI,Mali,Africa,Dioncounda Traore,2012-04-12,2013-09-04,Irregular,Regular,Regular,M,1942
MLI-2013,2b3c6718-3481-11e4-8dba-bbcd9ed46413,432,MLI,Mali,Africa,Ibrahim Boubacar Keita,2013-09-04,2020-08-19,Regular,Irregular,Coup,M,1945
MLI_2020_1,NA,432,MLI,Mali,Africa,Assimi Goita,2020-08-19,2020-09-25,Irregular,Regular,Regular,M,1983
MLI_2020_2,NA,432,MLI,Mali,Africa,Bah Ndaw,2020-09-25,2021-05-24,Regular,Irregular,Coup,M,1950
MLI_2021_1,NA,432,MLI,Mali,Africa,Assimi Goita,2021-05-24,2024-07-31,Irregular,Still in Office,Still in Office,M,1980
SEN-1960,822af698-1e42-11e4-b4cd-db5882bf8def,433,SEN,Senegal,Africa,Senghor,1960-08-20,1980-12-31,Regular,Regular,Regular,M,1906
SEN-1981,822af699-1e42-11e4-b4cd-db5882bf8def,433,SEN,Senegal,Africa,Diouf,1981-01-01,2000-04-01,Regular,Regular,Regular,M,1935
SEN-2000,822b276c-1e42-11e4-b4cd-db5882bf8def,433,SEN,Senegal,Africa,Abdoulaye Wade,2000-04-02,2012-04-02,Regular,Regular,Regular,M,1926
SEN-2012,2b3c6719-3481-11e4-8dba-bbcd9ed46413,433,SEN,Senegal,Africa,Sall,2012-04-02,2024-07-31,Regular,Still in Office,Still in Office,M,1945
BEN-1960,822b276d-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Maga,1960-01-01,1963-10-27,Regular,Irregular,"Removed by Military, without Foreign Support",M,1916
BEN-1963,822b5840-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Soglo,1963-10-28,1964-01-19,Irregular,Regular,Regular,M,1912
BEN-1964,822b8914-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Apithy,1964-01-19,1965-11-29,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1913
BEN-1965-1,822b8915-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Congacou,1965-11-29,1965-12-22,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1913
BEN-1965-2,822b5840-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Soglo,1965-12-22,1967-12-17,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1912
BEN-1967,822bb9e8-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Alley,1967-12-17,1968-08-01,Irregular,Regular,Regular,M,1930
BEN-1968,822bb9e9-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Zinsou,1968-08-01,1969-12-10,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1918
BEN-1969-1,822beabc-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Kouandete,1969-12-10,1969-12-13,Irregular,Regular,Regular,M,1939
BEN-1969-2,822beabd-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Paul-Emile de Souza,1969-12-13,1970-05-07,Irregular,Regular,Regular,M,1930
BEN-1970,822b276d-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Maga,1970-05-07,1972-04-07,Regular,Regular,Regular,M,1916
BEN-1972-1,822c1b9a-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Ahomadegbe,1972-04-07,1972-10-26,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1917
BEN-1972-2,822c1b9b-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Kerekou,1972-10-27,1991-04-04,Irregular,Regular,Regular,M,1933
BEN-1991,822c4c6e-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,"Soglo, N",1991-04-04,1996-04-04,Regular,Regular,Regular,M,1934
BEN-1996,822c1b9b-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Kerekou,1996-04-04,2006-04-06,Regular,Regular,Regular,M,1933
BEN-2006,82533627-1e42-11e4-b4cd-db5882bf8def,434,BEN,Benin,Africa,Yayi Boni,2006-04-06,2016-04-06,Regular,Regular,Regular,M,1952
BEN_2016_1,NA,434,BEN,Benin,Africa,Patrice Talon,2016-04-06,2024-07-31,Regular,Still in Office,Still in Office,M,1985
MAA-1960,822c4c6f-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Daddah,1960-11-28,1978-07-10,Regular,Irregular,"Removed by Military, without Foreign Support",M,1924
MAA-1978,822c7d42-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Mohamed Salek,1978-07-10,1979-04-06,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1936
MAA-1979-1,822c7d43-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Bouceif,1979-04-06,1979-05-27,Irregular,Natural Death,Regular,M,1933
MAA-1979-2,822cae16-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Sidi,1979-05-27,1979-05-31,Regular,Regular,Regular,M,1934
MAA-1979-3,822cae17-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Ahmed Louly,1979-06-03,1980-01-04,Regular,Irregular,Removed in Military Power Struggle Short of Coup,M,1943
MAA-1980,822cdeea-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Haidalla,1980-01-04,1984-12-12,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1940
MAA-1984,822cdeeb-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Sidi Ahmed Taya,1984-12-12,2005-08-03,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1941
MAA-2005,82533628-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Mohamed Vall,2005-08-03,2007-04-19,Irregular,Regular,Regular,M,1953
MAA-2007,82533629-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Cheikh Abdellahi,2007-04-19,2008-08-06,Regular,Irregular,"Removed by Military, without Foreign Support",M,1938
MAA-2008,8253362a-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Abdel Aziz,2008-08-06,2009-04-15,Irregular,Regular,Regular,M,1956
MAA-2009-1,8253362b-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,dit M'Bare,2009-04-15,2009-08-05,Regular,Regular,Regular,M,1946
MAA-2009-2,8253362a-1e42-11e4-b4cd-db5882bf8def,435,MAA,Mauritania,Africa,Ould Abdel Aziz,2009-08-05,2019-08-01,Regular,Regular,Regular,M,1956
MAA_2019_1,NA,435,MAA,Mauritania,Africa,Mohamed Cheikh El Ghazouani,2019-08-01,2024-07-31,Regular,Still in Office,Still in Office,M,1956
NIR-1960,822d0fbe-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Diori,1960-10-03,1974-04-15,Regular,Irregular,"Removed by Military, without Foreign Support",M,1916
NIR-1974,822d0fbf-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Kountche,1974-04-17,1987-11-10,Irregular,Natural Death,Regular,M,1931
NIR-1987,822d4092-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Seibou,1987-11-10,1993-04-16,Regular,Regular,Regular,M,1940
NIR-1993,822d4093-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Ousmane,1993-04-16,1996-01-27,Regular,Irregular,"Removed by Military, without Foreign Support",M,1950
NIR-1996,822d4094-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Mainassara,1996-01-27,1999-04-11,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1949
NIR-1999-1,822d7166-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Wanke,1999-04-11,1999-12-22,Irregular,Regular,Regular,M,1954
NIR-1999-2,822d7167-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Mamadou Tandja,1999-12-22,2010-02-08,Regular,Irregular,"Removed by Military, without Foreign Support",M,1938
NIR-2010,825366fa-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Djibo,2010-02-08,2011-04-07,Irregular,Regular,Regular,M,1965
NIR-2011,825366fb-1e42-11e4-b4cd-db5882bf8def,436,NIR,Niger,Africa,Issoufou,2011-04-07,2021-04-02,Regular,Regular,Regular,M,1952
NIR_2021_1,NA,436,NIR,Niger,Africa,Mohamed Bazoum,2021-04-02,2023-07-26,Regular,Irregular,Coup,M,1960
NIR_2023_1,NA,436,NIR,Niger,Africa,Abdourahamane Tchiani,2023-07-26,2024-07-31,Irregular,Still in Office,Still in Office,M,1960
CDI-1960,822d7168-1e42-11e4-b4cd-db5882bf8def,437,CDI,Ivory Coast,Africa,Houphouet-Boigny,1960-08-07,1993-12-07,Regular,Natural Death,Regular,M,1905
CDI-1993,822da23a-1e42-11e4-b4cd-db5882bf8def,437,CDI,Ivory Coast,Africa,Konan Bedie,1993-12-07,1999-12-25,Regular,Irregular,"Removed by Military, without Foreign Support",M,1934
CDI-1999,822da23b-1e42-11e4-b4cd-db5882bf8def,437,CDI,Ivory Coast,Africa,Guei,1999-12-25,2000-10-25,Irregular,Irregular,"Popular Protest, without Foreign Support",M,1941
CDI-2000,822dd30e-1e42-11e4-b4cd-db5882bf8def,437,CDI,Ivory Coast,Africa,Laurent Gbagbo,2000-10-26,2011-04-11,Irregular,Irregular,"Removed by Military, with Foreign Support",M,1945
CDI-2011,825366fc-1e42-11e4-b4cd-db5882bf8def,437,CDI,Ivory Coast,Africa,Ouattara,2011-04-11,2024-07-31,Irregular,Still in Office,Still in Office,M,1942
GUI-1958,822dd30f-1e42-11e4-b4cd-db5882bf8def,438,GUI,Guinea,Africa,Toure,1958-10-02,1984-03-26,Regular,Natural Death,Regular,M,1922
GUI-1984-1,822dd310-1e42-11e4-b4cd-db5882bf8def,438,GUI,Guinea,Africa,Beavogui,1984-03-27,1984-04-03,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1923
GUI-1984-2,822e03ec-1e42-11e4-b4cd-db5882bf8def,438,GUI,Guinea,Africa,Conte,1984-04-03,2008-12-22,Irregular,Natural Death,Regular,M,1934
GUI-2008-1,825366fd-1e42-11e4-b4cd-db5882bf8def,438,GUI,Guinea,Africa,Sompare,2008-12-22,2008-12-23,Regular,Regular,Regular,M,1944
GUI-2008-2,825366fe-1e42-11e4-b4cd-db5882bf8def,438,GUI,Guinea,Africa,Dadis Camara,2008-12-23,2009-12-05,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1964
GUI-2009,825366ff-1e42-11e4-b4cd-db5882bf8def,438,GUI,Guinea,Africa,Sekouba Konate,2009-12-05,2010-12-21,Irregular,Regular,Regular,M,1966
GUI-2010,82536700-1e42-11e4-b4cd-db5882bf8def,438,GUI,Guinea,Africa,Conde,2010-12-21,2021-09-05,Regular,Irregular,Coup,M,1938
GUI_2021_1,NA,438,GUI,Guinea,Africa,Mamady Doumbouya,2021-09-05,2024-07-31,Irregular,Still in Office,Still in Office,M,1980
BFO-1960,822e03ed-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,Yameogo,1960-08-05,1966-01-03,Regular,Irregular,"Removed by Military, without Foreign Support",M,1921
BFO-1966,822e03ee-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,Lamizana,1966-01-03,1971-01-13,Irregular,Regular,Regular,M,1916
BFO-1971,822e34c0-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,Gerard Kango Ouedraogo,1971-01-13,1974-02-08,Regular,Irregular,"Removed by Military, without Foreign Support",M,1925
BFO-1974,822e03ee-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,Lamizana,1974-02-08,1980-11-25,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1916
BFO-1980,822e34c1-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,Zerbo,1980-11-25,1982-11-07,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1932
BFO-1982,822e34c2-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,J. P. Ouedraogo,1982-11-07,1983-08-04,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1942
BFO-1983,822e6594-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,Sankara,1983-08-04,1987-10-15,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1949
BFO-1987,822e6595-1e42-11e4-b4cd-db5882bf8def,439,BFO,Burkina Faso,Africa,Campaore,1987-10-15,2014-10-31,Irregular,Regular,Regular,M,1951
BFO-2014-1,149f7556-aae0-11e4-b3bc-29f2fa19767e,439,BFO,Burkina Faso,Africa,Traore,2014-10-31,2014-11-01,Irregular,Irregular,"Removed by Military, with Foreign Support",M,1957
BFO-2014-2,149f7557-aae0-11e4-b3bc-29f2fa19767e,439,BFO,Burkina Faso,Africa,Zida,2014-11-01,2014-11-18,Irregular,Regular,Regular,M,1957
BFO-2014-3,149f7558-aae0-11e4-b3bc-29f2fa19767e,439,BFO,Burkina Faso,Africa,Kafando,2014-11-18,2015-12-29,Regular,Regular,Regular,M,1957
BFO-2015,0edd87f0-df39-11e5-ba44-bb6d7c1a9a58,439,BFO,Burkina Faso,Africa,Roch Marc Christian Kabore,2015-12-29,2022-01-30,Regular,Irregular,Coup,M,1957
BFO_2022_1,NA,439,BFO,Burkina Faso,Africa,Paul-Henri Sandaogo Damiba,2022-01-30,2022-09-30,Irregular,Irregular,Coup,M,1981
BFO_2022_2,NA,439,BFO,Burkina Faso,Africa,Ibrahim Traore,2022-09-30,2024-07-31,Irregular,Still in Office,Still in Office,M,1988
LBR-1930,822ef810-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Edwin Barclay,1930-12-03,1943-12-31,Regular,Regular,Regular,M,1882
LBR-1944,822ef811-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Tubman,1944-01-01,1971-07-23,Regular,Natural Death,Regular,M,1895
LBR-1971,822ef812-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Tolbert,1971-07-23,1980-04-12,Regular,Irregular,"Removed by Military, without Foreign Support",M,1913
LBR-1980,822ef813-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Doe,1980-04-12,1990-09-09,Irregular,Irregular,"Removed by Rebels, without Foreign Support",M,1951
LBR-1990,822f28e4-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Sawyer,1990-11-22,1994-03-07,Foreign Imposition,Regular,Regular,M,1945
LBR-1994,822f28e5-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Kpormapkor,1994-03-07,1995-09-01,Regular,Regular,Regular,M,1944
LBR-1995,822f28e6-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Sankawulo,1995-09-01,1996-09-03,Regular,Regular,Regular,M,1943
LBR-1996,822f28e7-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Ruth Perry,1996-09-03,1997-08-02,Regular,Regular,Regular,F,1939
LBR-1997,822f59b8-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Taylor,1997-08-02,2003-08-11,Regular,Regular,Regular,M,1948
LBR-2003-1,822f59b9-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Moses Zeh Blah,2003-08-11,2003-10-14,Regular,Regular,Regular,M,1947
LBR-2003-2,822f59ba-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Bryant,2003-10-14,2006-01-16,Regular,Regular,Regular,M,1949
LBR-2006,825397ce-1e42-11e4-b4cd-db5882bf8def,450,LBR,Liberia,Africa,Johnson Sirleaf,2006-01-16,2018-01-22,Regular,Regular,Regular,F,1938
LBR_2018_1,NA,450,LBR,Liberia,Africa,Weah,2018-01-22,2024-07-31,Regular,Still in Office,Still in Office,M,1966
SIE-1961,822f59bb-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,"Margai,M",1961-04-27,1964-04-28,Regular,Natural Death,Regular,M,1895
SIE-1964,822f8a8c-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,"Margai, A",1964-04-29,1967-03-17,Regular,Regular,Regular,M,1910
SIE-1967-1,822f8a8d-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Lansana,1967-03-21,1967-03-23,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1922
SIE-1967-2,822f8a8e-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Juxon-Smith,1967-03-27,1968-04-19,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1933
SIE-1968,822f8a8f-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Stevens,1968-04-19,1985-11-28,Irregular,Regular,Regular,M,1905
SIE-1985,822f8a90-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Momoh,1985-11-28,1992-04-29,Regular,Irregular,"Removed by Military, without Foreign Support",M,1937
SIE-1992,822fbb60-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Strasser,1992-05-01,1996-01-17,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1965
SIE-1996-1,822fbb61-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Bio,1996-01-17,1996-03-29,Irregular,Regular,Regular,M,1964
SIE-1996-2,822fbb62-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Kabbah,1996-03-29,1997-05-25,Regular,Irregular,"Removed by Military, without Foreign Support",M,1932
SIE-1997,822fbb63-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Koroma,1997-05-25,1998-02-12,Irregular,Foreign,Removed through Threat of Foreign Force,M,1960
SIE-1998,822fbb62-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Kabbah,1998-03-10,2007-09-17,Foreign Imposition,Regular,Regular,M,1932
SIE-2007,825397cf-1e42-11e4-b4cd-db5882bf8def,451,SIE,Sierra Leone,Africa,Bai Koroma,2007-09-17,2018-04-04,Regular,Regular,Regular,M,1953
SIE_2018_1,NA,451,SIE,Sierra Leone,Africa,Julius Maada Bio,2018-04-04,2024-07-31,Regular,Still in Office,Still in Office,M,1964
GHA-1952,822fbb64-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Nkrumah,1952-03-21,1966-02-24,Regular,Irregular,"Removed by Military, without Foreign Support",M,1909
GHA-1966,822fec3e-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Ankrah,1966-02-24,1969-04-03,Irregular,Regular,Regular,M,1915
GHA-1969-1,822fec3f-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Afrifa,1969-04-03,1969-09-03,Regular,Regular,Regular,M,1936
GHA-1969-2,822fec40-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Busia,1969-09-03,1972-01-13,Regular,Irregular,"Removed by Military, without Foreign Support",M,1913
GHA-1972,822fec41-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Acheampong,1972-01-13,1978-07-05,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1931
GHA-1978,822fec42-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Akuffo,1978-07-05,1979-06-04,Regular,Irregular,"Removed by Military, without Foreign Support",M,1937
GHA-1979-1,82301d12-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Rawlings,1979-06-05,1979-09-24,Irregular,Regular,Regular,M,1947
GHA-1979-2,82301d13-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Limann,1979-09-24,1981-12-31,Regular,Irregular,"Removed by Military, without Foreign Support",M,1934
GHA-1981,82301d12-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Rawlings,1981-12-31,2001-01-07,Irregular,Regular,Regular,M,1947
GHA-2001,82301d14-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,John Agyekum Kufuor,2001-01-08,2009-01-07,Regular,Regular,Regular,M,1938
GHA-2009,825397d0-1e42-11e4-b4cd-db5882bf8def,452,GHA,Ghana,Africa,Atta Mills,2009-01-07,2012-07-24,Regular,Natural Death,Regular,M,1944
GHA-2012,2b3c671a-3481-11e4-8dba-bbcd9ed46413,452,GHA,Ghana,Africa,John Mahama,2012-07-24,2017-01-07,Regular,Regular,Regular,M,1958
GHA_2017_1,NA,452,GHA,Ghana,Africa,Nana Akufo-Addo,2017-01-07,2024-07-31,Regular,Still in Office,Still in Office,M,1944
TOG-1960,82301d15-1e42-11e4-b4cd-db5882bf8def,461,TOG,Togo,Africa,Olympio,1960-04-27,1963-01-13,Regular,Irregular,"Removed by Military, without Foreign Support",M,1902
TOG-1963,82301d16-1e42-11e4-b4cd-db5882bf8def,461,TOG,Togo,Africa,Grunitzky,1963-01-16,1967-01-13,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1913
TOG-1967-1,82304de6-1e42-11e4-b4cd-db5882bf8def,461,TOG,Togo,Africa,Dadjo,1967-01-13,1967-04-14,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1914
TOG-1967-2,82304de7-1e42-11e4-b4cd-db5882bf8def,461,TOG,Togo,Africa,Eyadema,1967-04-14,2005-02-05,Irregular,Natural Death,Regular,M,1937
TOG-2005-1,36009e78-3bbd-11e5-afeb-eb6f07f9fec7,461,TOG,Togo,Africa,Faure Gnassingbe,2005-02-05,2005-02-25,Regular,Regular,Regular,M,1966
TOG-2005-2,825397d2-1e42-11e4-b4cd-db5882bf8def,461,TOG,Togo,Africa,Bonfoh,2005-02-25,2005-05-04,Regular,Regular,Regular,M,1948
TOG-2005-3,36009e78-3bbd-11e5-afeb-eb6f07f9fec7,461,TOG,Togo,Africa,Faure Gnassingbe,2005-05-04,2024-07-31,Regular,Still in Office,Still in Office,M,1966
CAO-1960,82304de8-1e42-11e4-b4cd-db5882bf8def,471,CAO,Cameroon,Africa,Ahidjo,1960-01-01,1982-11-06,Regular,Retired Due to Ill Health,Regular,M,1924
CAO-1982,82304de9-1e42-11e4-b4cd-db5882bf8def,471,CAO,Cameroon,Africa,Biya,1982-11-06,2024-07-31,Regular,Still in Office,Still in Office,M,1933
NIG-1960,82304dea-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Balewa,1960-10-01,1966-01-15,Regular,Irregular,"Removed by Military, without Foreign Support",M,1912
NIG-1966-1,82307eba-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Ironsi,1966-01-15,1966-07-29,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1924
NIG-1966-2,82307ebb-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Gowon,1966-07-29,1975-07-29,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1934
NIG-1975,82307ebc-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Ramat Mohammed,1975-07-29,1976-02-13,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1938
NIG-1976,82307ebd-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Obasanjo,1976-02-13,1979-10-01,Irregular,Regular,Regular,M,1937
NIG-1979,82307ebe-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Shagari,1979-10-01,1983-12-31,Regular,Irregular,"Removed by Military, without Foreign Support",M,1925
NIG-1983,8230af8e-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Buhari,1983-12-31,1985-08-27,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1942
NIG-1985,8230af8f-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Babangida,1985-08-27,1993-08-26,Irregular,Regular,Regular,M,1941
NIG-1993-1,8230af90-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Shonekan,1993-08-26,1993-11-17,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1936
NIG-1993-2,8230af91-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Abacha,1993-11-17,1998-06-08,Irregular,Natural Death,Regular,M,1943
NIG-1998,8230af92-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Abubakar,1998-06-09,1999-05-29,Regular,Regular,Regular,M,1942
NIG-1999,82307ebd-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Obasanjo,1999-05-29,2007-05-29,Regular,Regular,Regular,M,1937
NIG-2007,8253c8a2-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Yar'Adua,2007-05-29,2010-02-09,Regular,Retired Due to Ill Health,Regular,M,1951
NIG-2010,8253c8a3-1e42-11e4-b4cd-db5882bf8def,475,NIG,Nigeria,Africa,Goodluck Jonathan,2010-02-09,2015-05-29,Regular,Regular,Regular,M,1957
NIG-2015,0edd87f1-df39-11e5-ba44-bb6d7c1a9a58,475,NIG,Nigeria,Africa,Muhummadu Buhari,2015-05-29,2023-05-29,Regular,Regular,Regular,M,1942
NIG_2023_1,NA,475,NIG,Nigeria,Africa,Bola Tinubu,2023-05-29,2024-07-31,Regular,Still in Office,Still in Office,M,1952
GAB-1964-2,8230e062-1e42-11e4-b4cd-db5882bf8def,481,GAB,Gabon,Africa,Mba,1960-08-17,1967-11-28,Regular,Natural Death,Regular,M,1902
GAB-1967,8230e064-1e42-11e4-b4cd-db5882bf8def,481,GAB,Gabon,Africa,Bongo,1967-11-28,2009-06-08,Regular,Natural Death,Regular,M,1935
GAB-2009-1,8253c8a4-1e42-11e4-b4cd-db5882bf8def,481,GAB,Gabon,Africa,Rose Francine Rogombe,2009-06-10,2009-10-16,Regular,Regular,Regular,F,1942
GAB-2009-2,8253c8a5-1e42-11e4-b4cd-db5882bf8def,481,GAB,Gabon,Africa,Ali Bongo Ondimba,2009-10-16,2023-08-30,Regular,Irregular,Coup,M,1959
GAB_2023_1,NA,481,GAB,Gabon,Africa,Brice Oligui,2023-08-30,2024-07-31,Irregular,Still in Office,Still in Office,M,1974
CEN-1960,82311136-1e42-11e4-b4cd-db5882bf8def,482,CEN,Central African Republic,Africa,Dacko,1960-08-13,1966-01-01,Regular,Irregular,"Removed by Military, without Foreign Support",M,1930
CEN-1966,82311137-1e42-11e4-b4cd-db5882bf8def,482,CEN,Central African Republic,Africa,Bokassa,1966-01-01,1979-09-21,Irregular,Foreign,Removed through Threat of Foreign Force,M,1921
CEN-1979,82311136-1e42-11e4-b4cd-db5882bf8def,482,CEN,Central African Republic,Africa,Dacko,1979-09-21,1981-09-01,Foreign Imposition,Irregular,"Removed by Military, without Foreign Support",M,1930
CEN-1981,82311138-1e42-11e4-b4cd-db5882bf8def,482,CEN,Central African Republic,Africa,Kolingba,1981-09-01,1993-10-22,Irregular,Regular,Regular,M,1935
CEN-1993,82311139-1e42-11e4-b4cd-db5882bf8def,482,CEN,Central African Republic,Africa,Patasse,1993-10-22,2003-03-15,Regular,Irregular,"Removed by Rebels, without Foreign Support",M,1937
CEN-2003,8231420a-1e42-11e4-b4cd-db5882bf8def,482,CEN,Central African Republic,Africa,Francois Bozize,2003-03-15,2013-03-24,Regular,Irregular,"Removed by Rebels, without Foreign Support",M,1953
